word,number_of_occurrences,rank,frequency,rxf
the,709,1,7.437322983321096,7.437322983321096
of,362,2,3.7973355711738175,7.594671142347635
and,259,3,2.716878212524913,8.15063463757474
is,172,4,1.804258890170985,7.21703556068394
to,164,5,1.7203398720234975,8.601699360117488
a,154,6,1.6154410993391377,9.692646596034827
Sun,142,7,1.4895625721179062,10.426938004825343
in,142,7,1.4895625721179062,10.426938004825343
The,117,8,1.2273156404070074,9.818525123256059
as,105,9,1.1014371131857759,9.912934018671983
Solar,94,10,0.9860484632329802,9.860484632329802
s,93,11,0.9755585859645443,10.731144445609987
from,92,12,0.9650687086961083,11.580824504353298
System,91,13,0.9545788314276722,12.409524808559738
planets,88,14,0.9231091996223644,12.923528794713102
are,77,15,0.8077205496695689,12.115808245043533
that,75,16,0.786740795132697,12.587852722123152
with,67,17,0.7028217769852092,11.947970208748556
AU,61,18,0.6398825133745935,11.517885240742682
it,59,19,0.6189027588377216,11.759152417916711
by,54,20,0.5664533724955418,11.329067449910838
than,53,21,0.5559634952271059,11.675233399769223
belt,53,21,0.5559634952271059,11.675233399769223
Earth,52,22,0.5454736179586699,12.000419595090737
have,49,23,0.5140039861533621,11.822091681527327
its,49,23,0.5140039861533621,11.822091681527327
objects,48,24,0.503514108884926,12.084338613238224
at,47,25,0.4930242316164901,12.325605790412252
be,46,26,0.48253435434805414,12.545893213049407
orbit,45,27,0.4720444770796182,12.745200881149692
has,44,28,0.4615545998111822,12.923528794713102
known,38,29,0.39861533620056644,11.559844749816428
km,36,30,0.37763558166369454,11.329067449910836
orbits,35,31,0.36714570439525857,11.381516836253015
planet,34,32,0.35665582712682264,11.412986468058325
Jupiter,34,32,0.35665582712682264,11.412986468058325
Neptune,34,32,0.35665582712682264,11.412986468058325
which,34,32,0.35665582712682264,11.412986468058325
mi,34,32,0.35665582712682264,11.412986468058325
years,33,33,0.34616594985838667,11.42347634532676
Kuiper,33,33,0.34616594985838667,11.42347634532676
or,31,34,0.3251861953215147,11.0563306409315
billion,30,35,0.3146963180530788,11.014371131857757
for,30,35,0.3146963180530788,11.014371131857757
mass,28,36,0.29371656351620684,10.573796286583447
largest,28,36,0.29371656351620684,10.573796286583447
000,28,36,0.29371656351620684,10.573796286583447
but,27,37,0.2832266862477709,10.479387391167524
about,27,37,0.2832266862477709,10.479387391167524
2,27,37,0.2832266862477709,10.479387391167524
such,26,38,0.27273680897933494,10.363998741214727
their,26,38,0.27273680897933494,10.363998741214727
Pluto,26,38,0.27273680897933494,10.363998741214727
It,25,39,0.26224693171089897,10.22763033672506
million,25,39,0.26224693171089897,10.22763033672506
roughly,24,40,0.251757054442463,10.07028217769852
comets,23,41,0.24126717717402707,9.89195426413511
stars,23,41,0.24126717717402707,9.89195426413511
been,23,41,0.24126717717402707,9.89195426413511
inner,22,42,0.2307772999055911,9.692646596034827
outer,22,42,0.2307772999055911,9.692646596034827
an,22,42,0.2307772999055911,9.692646596034827
light,22,42,0.2307772999055911,9.692646596034827
only,22,42,0.2307772999055911,9.692646596034827
cloud,21,43,0.22028742263715514,9.47235917339767
more,21,43,0.22028742263715514,9.47235917339767
Saturn,21,43,0.22028742263715514,9.47235917339767
large,21,43,0.22028742263715514,9.47235917339767
other,21,43,0.22028742263715514,9.47235917339767
0,21,43,0.22028742263715514,9.47235917339767
dwarf,20,44,0.20979754536871917,9.231091996223643
solar,20,44,0.20979754536871917,9.231091996223643
region,20,44,0.20979754536871917,9.231091996223643
was,20,44,0.20979754536871917,9.231091996223643
on,20,44,0.20979754536871917,9.231091996223643
3,20,44,0.20979754536871917,9.231091996223643
4,19,45,0.19930766810028322,8.968845064512745
composed,19,45,0.19930766810028322,8.968845064512745
planetary,19,45,0.19930766810028322,8.968845064512745
this,19,45,0.19930766810028322,8.968845064512745
one,19,45,0.19930766810028322,8.968845064512745
5,19,45,0.19930766810028322,8.968845064512745
system,18,46,0.18881779083184727,8.685618378264975
interstellar,18,46,0.18881779083184727,8.685618378264975
four,18,46,0.18881779083184727,8.685618378264975
asteroid,18,46,0.18881779083184727,8.685618378264975
between,18,46,0.18881779083184727,8.685618378264975
into,18,46,0.18881779083184727,8.685618378264975
object,18,46,0.18881779083184727,8.685618378264975
giant,17,47,0.17832791356341132,8.381411937480332
hydrogen,17,47,0.17832791356341132,8.381411937480332
helium,17,47,0.17832791356341132,8.381411937480332
called,17,47,0.17832791356341132,8.381411937480332
bodies,17,47,0.17832791356341132,8.381411937480332
Mercury,17,47,0.17832791356341132,8.381411937480332
disc,17,47,0.17832791356341132,8.381411937480332
1,17,47,0.17832791356341132,8.381411937480332
