word,number_of_occurrences,rank,frequency,rxf
8AM,482,1,4.477057402935166,4.477057402935166
TOE,227,2,2.108489689764072,4.216979379528144
TOR,149,3,1.3839866245587962,4.151959873676389
8G,120,4,1.114620100315809,4.458480401263236
SOE,111,5,1.0310235927921234,5.155117963960617
8AR,110,6,1.0217350919561583,6.13041055173695
TG,105,7,0.975292587776333,6.827048114434331
HZG,97,8,0.9009845810886122,7.207876648708898
OR,92,9,0.8545420769087869,7.690878692179083
SO,89,10,0.8266765744008917,8.266765744008918
2,80,11,0.743080066877206,8.173880735649266
8AE,80,11,0.743080066877206,8.173880735649266
8AN,73,12,0.6780605610254505,8.136726732305407
TCG,71,13,0.6594835593535203,8.573286271595764
SOR,68,14,0.6316180568456251,8.842652795838752
SG,67,15,0.62232955600966,9.3349433401449
AR,60,16,0.5573100501579045,8.916960802526471
OE,60,16,0.5573100501579045,8.916960802526471
TC8G,60,16,0.5573100501579045,8.916960802526471
AM,56,17,0.5201560468140443,8.842652795838752
ODAM,53,18,0.49229054430614905,8.861229797510683
8AK,49,19,0.45513654096228867,8.647594278283485
4OHTG,49,19,0.45513654096228867,8.647594278283485
HZOE,47,20,0.43655953929035857,8.731190785807172
2AM,47,20,0.43655953929035857,8.731190785807172
T8G,46,21,0.42727103845439346,8.972691807542263
ODG,46,21,0.42727103845439346,8.972691807542263
SCG,45,22,0.4179825376184284,9.195615827605424
8OE,44,23,0.40869403678246335,9.399962845996658
4ODTG,44,23,0.40869403678246335,9.399962845996658
TDZG,44,23,0.40869403678246335,9.399962845996658
OHG,43,24,0.3994055359464983,9.58573286271596
HZOR,42,25,0.3901170351105332,9.75292587776333
SC8G,42,25,0.3901170351105332,9.75292587776333
8OR,41,26,0.3808285342745681,9.90154189113877
TO8G,40,27,0.371540033438603,10.03158090284228
4ODC8G,40,27,0.371540033438603,10.03158090284228
TAM,37,28,0.34367453093070777,9.622886866059817
4ODG,35,29,0.3250975292587776,9.427828348504551
TCOR,35,29,0.3250975292587776,9.427828348504551
OHAM,34,30,0.31580902842281255,9.474270852684377
G,33,31,0.3065205275868475,9.502136355192272
ODAE,33,31,0.3065205275868475,9.502136355192272
TO,33,31,0.3065205275868475,9.502136355192272
TAR,32,32,0.2972320267508824,9.511424856028237
DZG,32,32,0.2972320267508824,9.511424856028237
8AIR,32,32,0.2972320267508824,9.511424856028237
ODAR,32,32,0.2972320267508824,9.511424856028237
DTG,31,33,0.2879435259149173,9.50213635519227
OHTG,31,33,0.2879435259149173,9.50213635519227
4OHG,30,34,0.27865502507895223,9.474270852684375
R,30,34,0.27865502507895223,9.474270852684375
,30,34,0.27865502507895223,9.474270852684375
4ODAM,29,35,0.2693665242429872,9.427828348504551
TCDG,29,35,0.2693665242429872,9.427828348504551
OHOE,28,36,0.26007802340702213,9.362808842652797
ODC8G,27,37,0.250789522571057,9.27921233512911
4ODAR,27,37,0.250789522571057,9.27921233512911
TCOE,26,38,0.24150102173509194,9.177038825933494
4ODOE,26,38,0.24150102173509194,9.177038825933494
HTG,26,38,0.24150102173509194,9.177038825933494
HZCG,25,39,0.23221252089912686,9.056288315065947
O8AM,25,39,0.23221252089912686,9.056288315065947
DAM,24,40,0.2229240200631618,8.916960802526471
TOHG,24,40,0.2229240200631618,8.916960802526471
OHAE,24,40,0.2229240200631618,8.916960802526471
K,24,40,0.2229240200631618,8.916960802526471
SO8G,23,41,0.21363551922719673,8.759056288315065
OHTOE,23,41,0.21363551922719673,8.759056288315065
8,23,41,0.21363551922719673,8.759056288315065
8TG,23,41,0.21363551922719673,8.759056288315065
2G,22,42,0.20434701839123168,8.58257477243173
ODOE,22,42,0.20434701839123168,8.58257477243173
TODG,22,42,0.20434701839123168,8.58257477243173
SCCG,22,42,0.20434701839123168,8.58257477243173
TO8AM,21,43,0.1950585175552666,8.387516254876463
8TOR,21,43,0.1950585175552666,8.387516254876463
THZG,20,44,0.1857700167193015,8.173880735649266
4OHOE,20,44,0.1857700167193015,8.173880735649266
O8G,19,45,0.17648151588333644,7.941668214750139
ODTG,19,45,0.17648151588333644,7.941668214750139
TCCG,19,45,0.17648151588333644,7.941668214750139
OHAR,19,45,0.17648151588333644,7.941668214750139
GDAM,18,46,0.16719301504737136,7.690878692179083
TCAR,18,46,0.16719301504737136,7.690878692179083
DOE,18,46,0.16719301504737136,7.690878692179083
DTOR,18,46,0.16719301504737136,7.690878692179083
GDTG,18,46,0.16719301504737136,7.690878692179083
DAR,18,46,0.16719301504737136,7.690878692179083
GDAR,18,46,0.16719301504737136,7.690878692179083
OHC8G,18,46,0.16719301504737136,7.690878692179083
S8G,18,46,0.16719301504737136,7.690878692179083
HZO,17,47,0.15790451421140628,7.421512167936095
AE,17,47,0.15790451421140628,7.421512167936095
SCOE,17,47,0.15790451421140628,7.421512167936095
TCO8G,17,47,0.15790451421140628,7.421512167936095
HAM,17,47,0.15790451421140628,7.421512167936095
2AR,17,47,0.15790451421140628,7.421512167936095
DTOE,17,47,0.15790451421140628,7.421512167936095
HOE,17,47,0.15790451421140628,7.421512167936095
0,17,47,0.15790451421140628,7.421512167936095
DCCG,16,48,0.1486160133754412,7.133568642021178
4OHOR,16,48,0.1486160133754412,7.133568642021178
TOHZG,15,49,0.13932751253947612,6.82704811443433
SC,15,49,0.13932751253947612,6.82704811443433
ODCCG,15,49,0.13932751253947612,6.82704811443433
8TOE,15,49,0.13932751253947612,6.82704811443433
OHTOR,15,49,0.13932751253947612,6.82704811443433
4ODCCG,15,49,0.13932751253947612,6.82704811443433
HTOR,15,49,0.13932751253947612,6.82704811443433
HZAR,14,50,0.13003901170351106,6.501950585175553
HTCG,14,50,0.13003901170351106,6.501950585175553
DG,14,50,0.13003901170351106,6.501950585175553
2OR,14,50,0.13003901170351106,6.501950585175553
GDCCG,14,50,0.13003901170351106,6.501950585175553
TAE,14,50,0.13003901170351106,6.501950585175553
ODTOR,14,50,0.13003901170351106,6.501950585175553
TODTG,14,50,0.13003901170351106,6.501950585175553
OHOR,14,50,0.13003901170351106,6.501950585175553
OAM,14,50,0.13003901170351106,6.501950585175553
DT8G,14,50,0.13003901170351106,6.501950585175553
OHAK,14,50,0.13003901170351106,6.501950585175553
RAM,14,50,0.13003901170351106,6.501950585175553
ODAK,14,50,0.13003901170351106,6.501950585175553
ODCC8G,14,50,0.13003901170351106,6.501950585175553
DAE,14,50,0.13003901170351106,6.501950585175553
GHAM,13,51,0.12075051086754597,6.158276054244845
HZAM,13,51,0.12075051086754597,6.158276054244845
SCO,13,51,0.12075051086754597,6.158276054244845
SAM,13,51,0.12075051086754597,6.158276054244845
ODTCG,13,51,0.12075051086754597,6.158276054244845
TCO,13,51,0.12075051086754597,6.158276054244845
TAK,13,51,0.12075051086754597,6.158276054244845
4O8AM,13,51,0.12075051086754597,6.158276054244845
DZOE,13,51,0.12075051086754597,6.158276054244845
DTCG,13,51,0.12075051086754597,6.158276054244845
HTOE,13,51,0.12075051086754597,6.158276054244845
4ODTOE,13,51,0.12075051086754597,6.158276054244845
4OHC8G,13,51,0.12075051086754597,6.158276054244845
4ODT8G,13,51,0.12075051086754597,6.158276054244845
4ODAE,13,51,0.12075051086754597,6.158276054244845
OHCOE,12,52,0.1114620100315809,5.796024521642207
DOR,12,52,0.1114620100315809,5.796024521642207
TOK,12,52,0.1114620100315809,5.796024521642207
GHTG,12,52,0.1114620100315809,5.796024521642207
GHG,12,52,0.1114620100315809,5.796024521642207
SCO8G,12,52,0.1114620100315809,5.796024521642207
GHTOR,12,52,0.1114620100315809,5.796024521642207
2OE,12,52,0.1114620100315809,5.796024521642207
ORAM,12,52,0.1114620100315809,5.796024521642207
8ARG,12,52,0.1114620100315809,5.796024521642207
4OHTOR,12,52,0.1114620100315809,5.796024521642207
TOM,12,52,0.1114620100315809,5.796024521642207
GHC8G,12,52,0.1114620100315809,5.796024521642207
AK,11,53,0.10217350919561584,5.41519598736764
4OHAM,11,53,0.10217350919561584,5.41519598736764
4ODCG,11,53,0.10217350919561584,5.41519598736764
GDG,11,53,0.10217350919561584,5.41519598736764
TCC2,11,53,0.10217350919561584,5.41519598736764
ODOR,11,53,0.10217350919561584,5.41519598736764
TDG,11,53,0.10217350919561584,5.41519598736764
4OHTOE,11,53,0.10217350919561584,5.41519598736764
